bmptype,bmptype_desc,bmpcategory,bmpcategory_desc,Comment,analysiscategory,analysiscategory_desc,mdtype,mdtype_desc
OS,Oil & Water Separator,MD,Manufactured Device,"Moved to manufactured device, 2009.",MD,Manufactured Device,MD-OS,
OT,Other - Uncategorized BMP,OT,Other,Added 2009.,OT,Other,,
PA,Porous Pavement - Porous Asphalt,PP,Porous Pavement,Changed terminology 2009.,PP,Porous Pavement,,
PC,Porous Pavement - Pervious Concrete,PP,Porous Pavement,Changed terminology 2009.,PP,Porous Pavement,,
PF,Permeable Friction Course,PP,Porous Pavement,Added Dec. 2010,PF,Porous Pavement,,
PG,Porous Pavement - Porous Aggregate,PP,Porous Pavement,Added 2009.,PP,Porous Pavement,,
PM,Porous Pavement - Modular Blocks,PP,Porous Pavement,Changed terminology 2009.,PP,Porous Pavement,,
PT,Porous Pavement - Porous Turf,PP,Porous Pavement,Added 2009.,PP,Porous Pavement,,
RA,Recycling - Automotive Products,RC,Recycling,,RC,Recycling,,
RH,Recycling - Household Toxics Collection & Recycling Programs,RC,Recycling,,RC,Recycling,,
RL,Retention Tank (Wet) - Surface Tank With Impervious Liner,RP,Retention Pond,,RP,Retention Pond,,
RP,Retention Pond (Wet) - Surface Pond With a Permanent Pool,RP,Retention Pond,,RP,Retention Pond,,
RT,Retention Tunnel (Wet) - Deep Tunnel With Permanent Water,RP,Retention Pond,,RU,Retention Pond,,
RV,Retention Underground Vault or Pipes (Wet),RP,Retention Pond,,RU,Retention Pond,,
RW,Rainwater Harvesting,RW,Rainwater Harvesting,Added 2009.,RW,Rainwater Harvesting,,
SA,Source Controls - Automobile Service Stations,SC,Source Controls,,SC,Source Controls,,
SC,Source Controls - Construction Activities,SC,Source Controls,,SC,Source Controls,,
SF,Source Controls - Farming and Agricultural Sites,SC,Source Controls,,SC,Source Controls,,
SI,Source Controls - Industrial Sites,SC,Source Controls,,SC,Source Controls,,
SM,Source Controls - Automobile Maintenance Sites,SC,Source Controls,,SC,Source Controls,,
SO,"Source Controls - Commercial, Restaurant and Retail Sites",SC,Source Controls,,SC,Source Controls,,
SS,Source Controls - Automobile Salvage Facilities,SC,Source Controls,,SC,Source Controls,,
WB,Wetland - Basin With Open Water Surfaces,WB,Wetland Basin,,WB,Wetland Basin,,
WC,Wetland - Channel With Wetland Bottom,WC,Wetland Channel,,WC,Wetland Channel,,
WM,Wetland - Basin Without Open Water (Wetland Meadow Type),WB,Wetland Basin,,WB,Wetland Basin,,
